ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
23962,1,1,270,3.605551275,-52,-123.6900675,"(3,4]"
23963,1,1,300,3.605551275,-50,-93.69006753,"(3,4]"
23964,1,1,330,3.605551275,-50,-63.69006753,"(3,4]"
23965,1,2,0,3.16227766,-48,-18.43494882,"(3,4]"
23966,1,2,30,3.16227766,-53,11.56505118,"(3,4]"
23967,1,2,60,3.16227766,-58,41.56505118,"(3,4]"
23969,1,2,120,3.16227766,-58,101.5650512,"(3,4]"
23970,1,2,150,3.16227766,-56,131.5650512,"(3,4]"
23971,1,2,180,3.16227766,-58,161.5650512,"(3,4]"
23974,1,2,270,3.16227766,-54,-108.4349488,"(3,4]"
23975,1,2,300,3.16227766,-51,-78.43494882,"(3,4]"
23976,1,2,330,3.16227766,-50,-48.43494882,"(3,4]"
23977,1,3,0,3,-48,0,"(2,3]"
23978,1,3,30,3,-50,30,"(2,3]"
23979,1,3,60,3,-53,60,"(2,3]"
23980,1,3,90,3,-62,90,"(2,3]"
23989,1,4,0,3.16227766,-52,18.43494882,"(3,4]"
23990,1,4,30,3.16227766,-50,48.43494882,"(3,4]"
23991,1,4,60,3.16227766,-53,78.43494882,"(3,4]"
23992,1,4,90,3.16227766,-58,108.4349488,"(3,4]"
23993,1,4,120,3.16227766,-57,138.4349488,"(3,4]"
23994,1,4,150,3.16227766,-58,168.4349488,"(3,4]"
24000,1,4,330,3.16227766,-58,-11.56505118,"(3,4]"
24001,1,5,0,3.605551275,-53,33.69006753,"(3,4]"
24002,1,5,30,3.605551275,-50,63.69006753,"(3,4]"
24003,1,5,60,3.605551275,-50,93.69006753,"(3,4]"
24004,1,5,90,3.605551275,-53,123.6900675,"(3,4]"
24005,1,5,120,3.605551275,-59,153.6900675,"(3,4]"
24006,1,5,150,3.605551275,-59,-176.3099325,"(3,4]"
24012,1,5,330,3.605551275,-57,3.690067526,"(3,4]"
24025,2,0,0,3.605551275,-58,-56.30993247,"(3,4]"
24028,2,0,90,3.605551275,-60,33.69006753,"(3,4]"
24029,2,0,120,3.605551275,-57,63.69006753,"(3,4]"
24030,2,0,150,3.605551275,-57,93.69006753,"(3,4]"
24031,2,0,180,3.605551275,-58,123.6900675,"(3,4]"
24034,2,0,270,3.605551275,-58,-146.3099325,"(3,4]"
24035,2,0,300,3.605551275,-52,-116.3099325,"(3,4]"
24037,2,1,0,2.828427125,-54,-45,"(2,3]"
24038,2,1,30,2.828427125,-59,-15,"(2,3]"
